Date,District,Load Demand (MW),Price (₹/unit),Blackout Risk (%),Installed Capacity (MW)
2022-01-01,Bankura,1572.9863801330407,6.761207423760541,0.0384164648827257,2340.0
2022-01-01,Murshidabad,2192.1719720355964,6.348169074482952,0.0344779032812765,3700.0
2022-01-01,Birbhum,702.4304702519171,6.335687948295193,0.0325487332714456,1050.0
2022-01-01,Bardhaman,1330.1557306648508,6.112212356764013,0.0382497876740608,2140.0
2022-01-01,Purba Medinipur,399.4380237360999,7.464009222324112,0.0440523673518102,640.0
2022-01-01,South 24 Parganas,446.4657025137941,6.728736033012983,0.0310224703546373,750.0
2022-01-01,Purulia,1510.8523820556786,7.1621170152795655,0.0002049764656975,2680.0
2022-01-01,Hooghly,198.7439725386337,6.485378898243382,0.0149296846816625,335.0
2022-01-01,Kolkata,104.67878672078643,6.937195147269471,0.0097496787827003,175.0
2022-01-01,North 24 Parganas,153.04994634067532,6.568197638517347,0.0404955422541774,240.0
2022-01-01,Haldia,23.05190016155248,7.125146247767468,0.0030100660301331,40.0
2022-01-01,Darjeeling,292.5307406929922,7.477303408339671,0.0179909376083448,419.3
2022-01-01,Kalimpong,24.65649085835529,7.381994830981847,0.0387991568269263,44.0
2022-02-01,Bankura,1497.0904427237035,6.280996440900811,0.0069599516594501,2340.0
2022-02-01,Murshidabad,2194.254590579689,6.926143645251106,0.0122296855137264,3700.0
2022-02-01,Birbhum,634.2832800156368,6.94773986236604,0.0373868342468962,1050.0
2022-02-01,Bardhaman,1224.4774411096712,7.495051827445908,0.0046439432256968,2140.0
2022-02-01,Purba Medinipur,443.90462188519086,6.970070877776227,0.0001283827558306,640.0
2022-02-01,South 24 Parganas,489.2648112871468,7.487767740437642,0.0317981888512772,750.0
2022-02-01,Purulia,1504.844629281951,6.94610411982598,0.01810863728036,2680.0
2022-02-01,Hooghly,226.2027146761201,7.465719734400944,0.0456556489081109,335.0
2022-02-01,Kolkata,112.80590880421936,6.380501916840418,0.0105592636838885,175.0
2022-02-01,North 24 Parganas,153.8110405758093,7.285034160735627,0.0315838520788967,240.0
2022-02-01,Haldia,27.703873787039903,7.441485913309569,0.0433221441580964,40.0
2022-02-01,Darjeeling,269.5512889392413,7.007955641338048,0.0068606044204471,419.3
2022-02-01,Kalimpong,28.276774132110624,6.1748896266822895,0.0148691343786038,44.0
2022-03-01,Bankura,1448.4859416220652,7.216216675727993,0.0054600146375152,2340.0
2022-03-01,Murshidabad,2195.2047095420294,7.475067115482327,0.0314769645904149,3700.0
2022-03-01,Birbhum,613.5678293463226,7.016143765854787,0.017823859776739,1050.0
2022-03-01,Bardhaman,1318.3147613915055,6.319298091120878,0.046741873826931,2140.0
2022-03-01,Purba Medinipur,415.7787164985815,6.360117944945403,0.0327553258378702,640.0
2022-03-01,South 24 Parganas,519.8167512148401,6.516452028970686,0.0105006882165803,750.0
2022-03-01,Purulia,1611.5161466733805,6.517338993170756,0.0290606916163007,2680.0
2022-03-01,Hooghly,226.88011757315124,6.377097107681419,0.0386596728073659,335.0
2022-03-01,Kolkata,111.67133430820364,6.700865431570406,0.0344417038497983,175.0
2022-03-01,North 24 Parganas,135.79298870622063,6.681739840871544,0.024111015048995,240.0
2022-03-01,Haldia,24.72257889542202,7.244887460469929,0.0154269659951074,40.0
2022-03-01,Darjeeling,271.43396301347457,6.275272114431325,0.006678503166493,419.3
2022-03-01,Kalimpong,30.682602221145903,6.308619190782732,0.019093399240305,44.0
2022-04-01,Bankura,2364.1260670576858,6.870931182474176,0.0358026013675686,2340.0
2022-04-01,Murshidabad,4135.923168248326,6.66698616430581,0.1060943196320906,3700.0
